Question,Answer
Can I change my shift timing?,Shift changes are possible with your manager’s approval. Please submit a request via the shift management form.
What happens if I resign during probation?,"If you resign during probation, the notice period is 15 days."
Is there a relocation allowance?,"Yes, relocation allowances are available for eligible employees moving over 100km."
How do I report harassment or discrimination?,You can report it confidentially to the Internal Complaints Committee via email or HR portal.
Are there training programs for employees?,"Yes, we offer regular technical, soft skill, and leadership training programs."
Can I take a sabbatical?,Employees can apply for sabbatical leave after 2 years of service with proper justification.
What are the company's core values?,"Integrity, innovation, collaboration, and customer-centricity."
Is part-time work allowed?,Part-time options are considered on a case-by-case basis. Contact HR.
What is the policy on mobile phone usage?,Phones should be on silent and used discreetly during work hours.
Are we allowed to work on side projects?,Side projects are allowed if they don’t conflict with company interests.
What happens if I'm late to work?,Frequent tardiness may affect performance review; occasional delays are acceptable with notice.
Is overtime paid?,"Yes, overtime is paid after manager approval."
Are bonuses provided?,"Yes, annual bonuses based on performance."
Is health insurance provided?,"Yes, for employees and their immediate family."
Is remote onboarding available?,"Yes, available for fully remote hires."
Can I rejoin after resignation?,Rehiring is possible based on performance history.
What is the promotion policy?,"Based on performance, skill, and manager feedback."
Can I change my department?,Possible through internal job postings.
What is the grievance redressal mechanism?,Use the HR portal to raise and track issues.
Is there a referral bonus?,"Yes, if your referral is hired and completes probation."
What is the dress code on Fridays?,Casual attire is allowed on Fridays.
Do we have flexible hours?,"Yes, subject to manager approval."
What is the reimbursement process?,Submit receipts via the Finance portal.
Are laptops provided?,"Yes, for all permanent employees."
Is there a lunch facility?,"Yes, subsidized lunch is available in the cafeteria."
What if I forget my ID card?,You can get a temporary pass from security.
What is the emergency contact protocol?,Reach out to the admin desk or HR.
Are background checks conducted?,"Yes, for all new hires."
Can I get experience letters?,Available upon request after exit formalities.
Is job rotation supported?,"Yes, after 18 months in a role."
Are there annual health checkups?,"Yes, organized once a year."
Is internet reimbursement available?,"Yes, for remote employees."
How is paid time off tracked?,All leaves are tracked in the HRMS system.
Can I change my department please?,Possible through internal job postings.
Is part-time work allowed please?,Allowed on a case-by-case basis with HR approval.
What is the dress code on Fridays please?,Casual attire is allowed on Fridays.
What if I forget my ID card please?,You can get a temporary pass from security.
Can I change my department please please?,Possible through internal job postings.
What is the policy on mobile phone usage please?,Use phones discreetly during working hours.
What benefits does the company offer please?,"We offer health insurance, annual bonuses, wellness programs, and flexible working options."
Are bonuses provided please?,"Yes, annual bonuses based on performance."
Is there a transport facility please?,"Yes, we provide shuttle services on selected routes."
Are lunch breaks paid please?,Lunch breaks are unpaid and last for 1 hour between 12:00 PM and 2:00 PM.
What is the grievance redressal mechanism please?,Use the HR portal to raise and track issues.
What happens if I'm late to work please?,Repeated tardiness may impact performance reviews.
Is health insurance provided please?,"Yes, for employees and their immediate family."
Is there a referral bonus please?,"Yes, if your referral is hired and completes probation."
Are laptops provided please?,"Yes, for all permanent employees."
How is performance evaluated please?,"Performance reviews are done quarterly based on OKRs, manager feedback, and peer input."
Do we have flexible hours please?,"Yes, subject to manager approval."
Is job rotation supported please?,"Yes, after 18 months in a role."
Can I change my department please please please?,Possible through internal job postings.
What is the probation period duration please?,The probation period is 3 months for new employees.
What is the probation period duration please please?,The probation period is 3 months for new employees.
What is the promotion policy please?,"Based on performance, skill, and manager feedback."
Is job rotation supported please please?,"Yes, after 18 months in a role."
What is the reimbursement process please?,Submit receipts via the Finance portal.
Is there a referral bonus please please?,"Yes, if your referral is hired and completes probation."
What is the emergency contact protocol please?,Reach out to the admin desk or HR.
Is health insurance provided please please?,"Yes, for employees and their immediate family."
When is salary credited every month please?,Salaries are credited on the last working day of each month.
Do interns get paid please?,"Yes, interns are provided with a monthly stipend."
Is there a lunch facility please?,"Yes, subsidized lunch is available in the cafeteria."
Can I take a sabbatical please?,Available after 2 years of service with proper approval.
What is the emergency contact protocol please please?,Reach out to the admin desk or HR.
What happens if I resign during probation please?,The notice period during probation is 15 days.
What happens if I resign during probation please please?,The notice period during probation is 15 days.
Is there a relocation allowance please?,"Yes, for eligible employees moving more than 100 km."
What happens if I resign during probation please please please?,The notice period during probation is 15 days.
Is remote onboarding available please?,"Yes, available for fully remote hires."
Is there a transport facility please please?,"Yes, we provide shuttle services on selected routes."
Is part-time work allowed please please?,Allowed on a case-by-case basis with HR approval.
How can I reset my HRMS password please?,You can reset your HRMS password by clicking 'Forgot Password' on the login screen.
What happens if I'm late to work please please?,Repeated tardiness may impact performance reviews.
Is health insurance provided please please please?,"Yes, for employees and their immediate family."
What is the notice period please?,The standard notice period is 2 months unless otherwise stated in your contract.
Is health insurance provided please please please please?,"Yes, for employees and their immediate family."
When is salary credited every month please please?,Salaries are credited on the last working day of each month.
What is the company leave policy please?,"Our company offers 24 annual paid leaves, 10 public holidays, and 5 sick leaves per year."
How do I access my payslip please?,Payslips are available in the HRMS portal under the 'Payroll' section.
Do interns get paid please please?,"Yes, interns are provided with a monthly stipend."
